4046,8
4047,10
4048,8
4049,8
4050,10
4051,8
4052,8
4053,8
4054,8
4055,10
4056,8
4057,10
4058,8
4059,8
4060,10
4061,8
4062,8
4063,10
4064,3
4065,3
4066,8
4067,8
4068,8
4069,10
4070,10
4071,10
4072,10
4073,8
4074,10
4075,8
4076,10
4077,10
4078,8
4079,8
4080,7
4081,8
4082,8
4083,8
4084,9
4085,10
4086,8
4087,2
4088,7
4089,10
4090,10
4091,7
4092,8
4093,8
4094,8
4095,10
4096,10
4097,10
4098,3
4099,10
4100,8
4101,10
4102,7
4103,8
4104,8
4105,10
4106,10
4107,8
4108,8
4109,3
4110,10
4111,10
4112,10
4113,8
4114,0
4115,8
4116,8
4117,3
4118,10
4119,10
4120,10
4121,8
4122,8
4123,8
4124,8
4125,8
4126,10
4127,8
4128,9
4129,10
4130,10
4131,8
4132,3
4133,10
4134,8
4135,8
4136,10
4137,10
4138,8
4139,8
4140,8
4141,8
4142,10
4143,5
4144,8
4145,8
4146,8
4147,10
4148,10
4149,8
4150,10
4151,7
4152,2
4153,8
4154,10
4155,10
4156,10
4157,3
4158,8
4159,8
4160,8
4161,8
4162,8
4163,2
4164,8
4165,5
4166,8
4167,10
4168,1
4169,8
4170,8
4171,10
4172,10
4173,10
4174,8
4175,8
4176,3
4177,7
4178,8
4179,8
4180,7
4181,10
4182,10
4183,10
4184,3
4185,7
4186,9
4187,10
4188,3
4189,8
4190,10
4191,10
4192,10
4193,0
4194,8
4195,10
4196,8
4197,10
4198,8
4199,10
4200,10
4201,8
4202,10
4203,8
4204,7
4205,7
4206,10
4207,10
4208,8
4209,10
4210,10
4211,10
4212,8
4213,10
4214,10
4215,10
4216,3
4217,8
4218,8
4219,10
4220,7
4221,0
4222,3
4223,8
4224,2
4225,8
4226,7
4227,8
4228,10
4229,10
4230,6
4231,8
4232,8
4233,10
4234,10
4235,10
4236,10
4237,8
4238,8
4239,10
4240,8
4241,10
4242,8
4243,10
4244,8
4245,8
4246,10
4247,8
4248,8
4249,10
4250,10
4251,10
4252,10
4253,3
4254,8
4255,8
4256,8
4257,10
4258,7
4259,8
4260,8
4261,2
4262,8
4263,1
4264,10
4265,10
4266,10
4267,8
4268,8
4269,8
4270,8
4271,10
4272,10
4273,8
4274,10
4275,8
4276,10
4277,8
4278,10
4279,2
4280,10
4281,8
4282,10
4283,8
4284,3
4285,3
4286,10
4287,8
4288,10
4289,8
4290,8
4291,3
4292,8
4293,8
4294,10
4295,8
4296,8
4297,8
4298,9
4299,8
4300,10
4301,10
4302,8
4303,8
4304,8
4305,8
4306,8
4307,10
4308,8
4309,8
4310,10
4311,6
4312,8
4313,10
4314,7
4315,4
4316,8
4317,10
4318,8
4319,10
4320,2
4321,8
4322,10
4323,10
4324,8
4325,8
4326,8
4327,8
4328,8
4329,8
4330,8
4331,10
4332,8
4333,7
4334,8
4335,7
4336,10
4337,8
4338,8
4339,7
4340,8
4341,2
4342,10
4343,3
4344,6
4345,8
4346,8
4347,3
4348,8
4349,10
4350,1
4351,10
4352,8
4353,8
4354,7
4355,3
4356,6
4357,8
4358,10
4359,10
4360,8
4361,5
4362,8
4363,10
4364,8
4365,8
4366,8
4367,10
4368,8
4369,10
4370,10
4371,8
4372,8
